order,orientation,wavelength,theta_exp_counterclockwise_D,theta_exp_counterclockwise_m,theta_exp_counterclockwise_D_back,theta_exp_counterclockwise_m_back
1,1,404.66,14,3,194,2
1,1,435.84,15,10,195,8
1,1,546.07,19,51,199,5
1,1,576.96,20,14,200,13
1,1,578.97,20,18,200,18
2,1,404.66,,,,
2,1,435.84,31,31,211,30
2,1,546.07,40,55,220,55
2,1,576.96,43,48,223,48
2,1,576.97,44,0,223,59
3,1,435.84,51,40,231,59
3,1,546.07,79,27,259,25
1,-1,404.66,345,58,165,55
1,-1,435.84,345,50,164,48
1,-1,546.07,340,53,160,50
1,-1,576.96,339,45,159,42
1,-1,578.97,339,40,159,37
2,-1,404.66,,,,
2,-1,435.84,328,30,148,27
2,-1,546.07,319,5,139,2
2,-1,576.96,316,12,136,9
2,-1,576.97,316,0,135,57
3,-1,435.84,308,20,128,19
3,-1,546.07,280,45,100,42
